dp3-1,Ampharos,Pokémon,['Stage 2'],52,130,['Lightning'],Flaaffy,"[{'name': 'Jamming', 'text': ""After your opponent plays a Supporter card from his or her hand, put 1 damage counter on each of your opponent's Pokémon. You can't use more than 1 Jamming Poké-Body each turn."", 'type': 'Poké-Body'}]","[{'name': 'Cluster Bolt', 'cost': ['Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': ""You may discard all Lightning Energy attached to Ampharos. If you do, this attack does 20 damage to each of your opponent's Benched Pokémon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]","[{'type': 'Fighting', 'value': '+30'}]","[{'type': 'Metal', 'value': '-20'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'dp3', 'name': 'Secret Wonders', 'series': 'Diamond & Pearl', 'printedTotal': 132, 'total': 132, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'SW', 'releaseDate': '2007/11/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dp3/symbol.png', 'logo': 'https://images.pokemontcg.io/dp3/logo.png'}}",1,Kouki Saitou,Rare Holo,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail's light.",[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dp3/1.png', 'large': 'https://images.pokemontcg.io/dp3/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dp3-1', 'updatedAt': '2024/02/14', 'prices': {'holofoil': {'low': 3.0, 'mid': 7.42, 'high': 29.98, 'market': 15.38, 'directLow': 3.93}, 'reverseHolofoil': {'low': 3.85, 'mid': 4.99, 'high': 14.99, 'market': 7.04, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/dp3-1', 'updatedAt': '2024/02/14', 'prices': {'averageSellPrice': 1.55, 'lowPrice': 0.05, 'trendPrice': 1.72, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.29, 'reverseHoloTrend': 2.64, 'lowPriceExPlus': 0.49, 'avg1': 0.73, 'avg7': 1.72, 'avg30': 1.95, 'reverseHoloAvg1': 1.5, 'reverseHoloAvg7': 2.12, 'reverseHoloAvg30': 2.77}}",,,,
ex12-1,Aerodactyl,Pokémon,['Stage 1'],,70,['Colorless'],Mysterious Fossil,"[{'name': 'Reactive Protection', 'text': ""Any damage done to Aerodactyl by attacks from your opponent's Pokémon is reduced by 10 for each React Energy card attached to Aerodactyl (after applying Weakness and Resistance)."", 'type': 'Poké-Body'}]","[{'name': 'Power Blow', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10+', 'text': 'Does 10 damage plus 10 more damage for each Energy attached to Aerodactyl.'}, {'name': 'Speed Stroke', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': ""During your opponent's next turn, prevent all effects, including damage, done to Aerodactyl by attacks from your opponent's Pokémon-ex.""}]","[{'type': 'Lightning', 'value': '×2'}]","[{'type': 'Fighting', 'value': '-30'}]",,,"{'id': 'ex12', 'name': 'Legend Maker', 'series': 'EX', 'printedTotal': 92, 'total': 93, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'LM', 'releaseDate': '2006/02/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex12/symbol.png', 'logo': 'https://images.pokemontcg.io/ex12/logo.png'}}",1,Hajime Kusajima,Rare Holo,,[142],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex12/1.png', 'large': 'https://images.pokemontcg.io/ex12/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex12-1', 'updatedAt': '2024/02/14', 'prices': {'holofoil': {'low': 15.76, 'mid': 16.59, 'high': 19.99, 'market': 16.6, 'directLow': None}, 'reverseHolofoil': {'low': 19.99, 'mid': 37.5, 'high': 39.97, 'market': 38.35, 'directLow': 39.97}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex12-1', 'updatedAt': '2024/02/14', 'prices': {'averageSellPrice': 8.81, 'lowPrice': 1.0, 'trendPrice': 5.48, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 4.51, 'reverseHoloTrend': 27.62, 'lowPriceExPlus': 4.95, 'avg1': 1.0, 'avg7': 6.78, 'avg30': 11.62, 'reverseHoloAvg1': 17.5, 'reverseHoloAvg7': 37.47, 'reverseHoloAvg30': 21.74}}",,,,
mcd19-1,Caterpie,Pokémon,['Basic'],,50,['Grass'],,,"[{'cost': ['Grass'], 'name': 'Surprise Attack', 'text': 'Flip a coin. If tails, this attack does nothing.', 'damage': '20', 'convertedEnergyCost': 1}]","[{'type': 'Fire', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",1,Sekio,,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.",[10],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/mcd19/1.png', 'large': 'https://images.pokemontcg.io/mcd19/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-1', 'updatedAt': '2024/02/14', 'prices': {'holofoil': {'low': 4.7, 'mid': 5.39, 'high': 11.99, 'market': 5.95, 'directLow': 4.7}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/mcd19-1', 'updatedAt': '2024/02/14', 'prices': {'averageSellPrice': 1.86, 'lowPrice': 0.02, 'trendPrice': 2.0, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 1.71, 'lowPriceExPlus': 1.5, 'avg1': 3.0, 'avg7': 1.6, 'avg30': 1.92, 'reverseHoloAvg1': 0.5, 'reverseHoloAvg7': 1.71, 'reverseHoloAvg30': 1.37}}",['Metapod'],,,
ex7-1,Azumarill,Pokémon,['Stage 1'],,80,['Water'],Marill,"[{'name': 'Froth', 'text': 'Once during your turn, when you play Azumarill from your hand to evolve 1 of your Active Pokémon, you may use this power. Each Defending Pokémon is now Paralyzed.', 'type': 'Poké-Power'}]","[{'name': 'Water Punch', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': 'Flip a coin for each Water Energy attached to Azumarill. This attack does 20 damage plus 20 more damage for each heads.'}]","[{'type': 'Lightning', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'ex7', 'name': 'Team Rocket Returns', 'series': 'EX', 'printedTotal': 109, 'total': 111, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'TRR', 'releaseDate': '2004/11/01', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex7/symbol.png', 'logo': 'https://images.pokemontcg.io/ex7/logo.png'}}",1,Sumiyoshi Kizuki,Rare Holo,,[184],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex7/1.png', 'large': 'https://images.pokemontcg.io/ex7/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex7-1', 'updatedAt': '2024/02/14', 'prices': {'holofoil': {'low': 15.97, 'mid': 19.95, 'high': 24.58, 'market': 21.6, 'directLow': 8.55}, 'reverseHolofoil': {'low': 16.51, 'mid': 34.99, 'high': 51.98, 'market': 34.99, 'directLow': 51.98}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex7-1', 'updatedAt': '2024/02/14', 'prices': {'averageSellPrice': 4.0, 'lowPrice': 0.79, 'trendPrice': 22.49, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 4.95, 'reverseHoloTrend': 16.36, 'lowPriceExPlus': 2.0, 'avg1': 3.0, 'avg7': 4.94, 'avg30': 20.7, 'reverseHoloAvg1': 11.0, 'reverseHoloAvg7': 12.78, 'reverseHoloAvg30': 9.78}}",,,,
sm9-1,Celebi & Venusaur-GX,Pokémon,"['Basic', 'TAG TEAM', 'GX']",,270,['Grass'],,,"[{'name': 'Pollen Hazard', 'cost': ['Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': ""Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.""}, {'name': 'Solar Beam', 'cost': ['Grass', 'Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '150', 'text': ''}, {'name': 'Evergreen-GX', 'cost': ['Grass', 'Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '180', 'text': ""Heal all damage from this Pokémon. If this Pokémon has at least 1 extra Grass Energy attached to it (in addition to this attack's cost), shuffle all cards from your discard pile into your deck. (You can't use more than 1 GX attack in a game.)""}]","[{'type': 'Fire', 'value': '×2'}]",,"['Colorless', 'Colorless', 'Colorless', 'Colorless']",4.0,"{'id': 'sm9', 'name': 'Team Up', 'series': 'Sun & Moon', 'printedTotal': 181, 'total': 198, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'TEU', 'releaseDate': '2019/02/01', 'updatedAt': '2021/09/01 05:37:00', 'images': {'symbol': 'https://images.pokemontcg.io/sm9/symbol.png', 'logo': 'https://images.pokemontcg.io/sm9/logo.png'}}",1,Mitsuhiro Arita,Rare Holo GX,,"[3, 251]","{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sm9/1.png', 'large': 'https://images.pokemontcg.io/sm9/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sm9-1', 'updatedAt': '2024/02/14', 'prices': {'holofoil': {'low': 7.0, 'mid': 8.71, 'high': 19.95, 'market': 8.72, 'directLow': 8.09}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sm9-1', 'updatedAt': '2024/02/14', 'prices': {'averageSellPrice': 14.44, 'lowPrice': 4.0, 'trendPrice': 12.29, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 5.88, 'lowPriceExPlus': 6.5, 'avg1': 14.98, 'avg7': 10.27, 'avg30': 13.55, 'reverseHoloAvg1': 6.46, 'reverseHoloAvg7': 6.39, 'reverseHoloAvg30': 7.36}}",,"['TAG TEAM rule: When your TAG TEAM is Knocked Out, your opponent takes 3 Prize cards.']",,
pl1-2,Blastoise,Pokémon,['Stage 2'],60,130,['Water'],Wartortle,"[{'name': 'Dig Well', 'text': ""Once during your turn (before your attack), you may look at the top 3 cards of your deck, choose as many Water Energy cards as you like, and attach them to your Pokémon in any way you like. Discard the other cards. This power can't be used if Blastoise is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Aqua Press', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': ""Does 20 damage plus 10 more damage for each Energy attached to all Pokémon (both yours and your opponent's).""}, {'name': 'Double Launcher', 'cost': ['Water', 'Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '', 'text': ""Discard 2 Energy attached to Blastoise. Choose 2 of your opponent's Benched Pokémon. This attack does 60 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) Blastoise can't use Double Launcher during your next turn.""}]","[{'type': 'Lightning', 'value': '+30'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'pl1', 'name': 'Platinum', 'series': 'Platinum', 'printedTotal': 127, 'total': 133, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PL', 'releaseDate': '2009/02/11', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/pl1/symbol.png', 'logo': 'https://images.pokemontcg.io/pl1/logo.png'}}",2,Kagemaru Himeno,Rare Holo,,[9],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/pl1/2.png', 'large': 'https://images.pokemontcg.io/pl1/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/pl1-2', 'updatedAt': '2024/02/14', 'prices': {'holofoil': {'low': 6.63, 'mid': 13.09, 'high': 31.25, 'market': 18.75, 'directLow': None}, 'reverseHolofoil': {'low': 10.55, 'mid': 12.99, 'high': 29.99, 'market': 26.15, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/pl1-2', 'updatedAt': '2024/02/14', 'prices': {'averageSellPrice': 5.0, 'lowPrice': 0.25, 'trendPrice': 4.82, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 6.0, 'reverseHoloLow': 0.25, 'reverseHoloTrend': 5.61, 'lowPriceExPlus': 4.0, 'avg1': 6.5, 'avg7': 5.56, 'avg30': 5.4, 'reverseHoloAvg1': 7.0, 'reverseHoloAvg7': 5.84, 'reverseHoloAvg30': 5.85}}",,,,
ex3-2,Altaria,Pokémon,['Stage 1'],,80,['Colorless'],Swablu,,"[{'name': 'Dragon Dance', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'During your next turn, if any of your current Active Pokémon does damage to any Defending Pokémon, this attack does 40 more damage (before applying Weakness and Resistance).'}, {'name': 'Dragon Song', 'cost': ['Water', 'Lightning'], 'convertedEnergyCost': 2, 'damage': '30', 'text': 'Each Defending Pokémon is now Asleep.'}]","[{'type': 'Colorless', 'value': '×2'}]","[{'type': 'Grass', 'value': '-30'}, {'type': 'Fighting', 'value': '-30'}]",['Colorless'],1.0,"{'id': 'ex3', 'name': 'Dragon', 'series': 'EX', 'printedTotal': 97, 'total': 100, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'DR', 'releaseDate': '2003/11/24', 'updatedAt': '2023/02/16 05:47:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex3/symbol.png', 'logo': 'https://images.pokemontcg.io/ex3/logo.png'}}",2,Atsuko Nishida,Rare Holo,,[334],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex3/2.png', 'large': 'https://images.pokemontcg.io/ex3/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex3-2', 'updatedAt': '2024/02/14', 'prices': {'holofoil': {'low': 14.77, 'mid': 15.79, 'high': 37.56, 'market': 20.04, 'directLow': None}, 'reverseHolofoil': {'low': 6.0, 'mid': 9.95, 'high': 18.74, 'market': 9.79, 'directLow': 4.99}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex3-2', 'updatedAt': '2024/02/14', 'prices': {'averageSellPrice': 4.2, 'lowPrice': 1.49, 'trendPrice': 6.98, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 11.49, 'reverseHoloLow': 1.49, 'reverseHoloTrend': 4.35, 'lowPriceExPlus': 4.5, 'avg1': 5.0, 'avg7': 4.45, 'avg30': 8.09, 'reverseHoloAvg1': 11.49, 'reverseHoloAvg7': 4.35, 'reverseHoloAvg30': 4.09}}",,,,
sm9-2,Weedle,Pokémon,['Basic'],,40,['Grass'],,,"[{'name': 'Tangle Drag', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""Switch 1 of your opponent's Benched Pokémon with their Active Pokémon.""}, {'name': 'Bug Bite', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'sm9', 'name': 'Team Up', 'series': 'Sun & Moon', 'printedTotal': 181, 'total': 198, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'TEU', 'releaseDate': '2019/02/01', 'updatedAt': '2021/09/01 05:37:00', 'images': {'symbol': 'https://images.pokemontcg.io/sm9/symbol.png', 'logo': 'https://images.pokemontcg.io/sm9/logo.png'}}",2,Shibuzoh.,Common,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",[13],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sm9/2.png', 'large': 'https://images.pokemontcg.io/sm9/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sm9-2', 'updatedAt': '2024/02/14', 'prices': {'normal': {'low': 0.06, 'mid': 0.2, 'high': 1.99, 'market': 0.15, 'directLow': 0.25}, 'reverseHolofoil': {'low': 0.19, 'mid': 0.37, 'high': 1.25, 'market': 0.26, 'directLow': 0.26}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sm9-2', 'updatedAt': '2024/02/14', 'prices': {'averageSellPrice': 0.08, 'lowPrice': 0.01, 'trendPrice': 0.08, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.15, 'reverseHoloLow': 0.1, 'reverseHoloTrend': 0.28, 'lowPriceExPlus': 0.01, 'avg1': 0.02, 'avg7': 0.08, 'avg30': 0.07, 'reverseHoloAvg1': 0.15, 'reverseHoloAvg7': 0.2, 'reverseHoloAvg30': 0.27}}",['Kakuna'],,,
mcd19-2,Alolan Exeggutor,Pokémon,['Stage 1'],,160,['Grass'],Exeggcute,,"[{'cost': ['Grass'], 'name': 'Tropical Shake', 'text': ""This attack does 20 more damage for each type of basic Energy card in your discard pile. You can't add more than 100 damage in this way."", 'damage': '20+', 'convertedEnergyCost': 1}]","[{'type': 'Fire', 'value': '×2'}]",,"['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",2,Satoshi Shirai,,"As it grew taller and taller, it outgrew its reliance on psychic powers, while within it awakened the power of the sleeping dragon.",[103],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/mcd19/2.png', 'large': 'https://images.pokemontcg.io/mcd19/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-2', 'updatedAt': '2024/02/14', 'prices': {'holofoil': {'low': 1.75, 'mid': 3.5, 'high': 9.44, 'market': 3.64, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/mcd19-2', 'updatedAt': '2024/02/14', 'prices': {'averageSellPrice': 1.88, 'lowPrice': 0.38, 'trendPrice': 1.71, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 2.2, 'lowPriceExPlus': 0.79, 'avg1': 2.4, 'avg7': 1.56, 'avg30': 1.32, 'reverseHoloAvg1': 2.0, 'reverseHoloAvg7': 2.23, 'reverseHoloAvg30': 1.54}}",,,,
xy5-2,Kakuna,Pokémon,['Stage 1'],,80,['Grass'],Weedle,,"[{'name': 'Bug Bite', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '20', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",,"['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'xy5', 'name': 'Primal Clash', 'series': 'XY', 'printedTotal': 160, 'total': 164, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PRC', 'releaseDate': '2015/02/04', 'updatedAt': '2020/05/01 16:06:00', 'images': {'symbol': 'https://images.pokemontcg.io/xy5/symbol.png', 'logo': 'https://images.pokemontcg.io/xy5/logo.png'}}",2,Kagemaru Himeno,Uncommon,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",[14],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/xy5/2.png', 'large': 'https://images.pokemontcg.io/xy5/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/xy5-2', 'updatedAt': '2024/02/14', 'prices': {'normal': {'low': 0.04, 'mid': 0.23, 'high': 1.36, 'market': 0.21, 'directLow': 0.19}, 'reverseHolofoil': {'low': 0.15, 'mid': 0.33, 'high': 1.95, 'market': 0.28, 'directLow': 0.21}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/xy5-2', 'updatedAt': '2024/02/14', 'prices': {'averageSellPrice': 0.15, 'lowPrice': 0.02, 'trendPrice': 0.16, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.68, 'reverseHoloLow': 0.05, 'reverseHoloTrend': 0.37, 'lowPriceExPlus': 0.02, 'avg1': 0.15, 'avg7': 0.12, 'avg30': 0.15, 'reverseHoloAvg1': 0.68, 'reverseHoloAvg7': 0.27, 'reverseHoloAvg30': 0.34}}",['Beedrill'],,,
